drug,se_log_irr_10pct,mde_irr_10pct_increase,mde_irr_10pct_decrease_equiv,rr,rr_source,prevalence,prevalence_source,notes,expected_irr_10pct,expected_pct_change_tb,paf_pct,mde_pct_change_tb,mde_to_expected_ratio,rr_needed_for_80pct_power,min_detectable_paf_pct,power_for_expected
antituberculosis,0.001568608474144903,1.0044042606867718,0.9956150517683384,,,,,,,,,0.4404260686771799,,,4.404260686771795,
oral_glucocorticoids,0.02182619586470859,1.0630561792724436,0.9406840574356105,4.9,"Jick SS et al. Arthritis Rheum 2006;55:19-26 (PMID 16463407): current use OR 4.9 (2.9-8.3), UK GPRD",0.009,van Staa TP et al. QJM 2000;93:105-11 (PMID 10700481): 0.9% of adults current oral glucocorticoid use,adult prevalence applied to whole population (favours detection),1.0033909767172255,0.33909767172255467,3.390976717225389,6.305617927244356,18.0631039222603,190.64584613622912,63.0561792724435,0.03554797488685558
oral_hydrocortisone,0.006241417902035592,1.017639636831961,0.9826661264031782,,,,,,,,,1.7639636831960903,,,17.639636831960885,
oral_dexamethasone,0.005285169726553823,1.0149170178930094,0.9853022290196912,,,,,,,,,1.4917017893009366,,,14.917017893009355,
inhaled_corticosteroids,0.0243076848182617,1.070472404391998,0.9341670050504248,1.27,Brassard P et al. AJRCCM 2011;183:675-8 (PMID 20889902): any ICS use RR 1.27 (1.05-1.53),0.052,Bloom CI et al. ERJ 2019;53:1802130 (PMID 30765507): asthma 6.5% x 80% on ICS (derived); COPD users not included,,1.0013845607668337,0.13845607668336868,1.3845607668336555,7.047240439199798,49.21935213199822,46.89735527374553,70.47240439199791,0.028517429176098136
conventional_dmards,0.009776875389279474,1.0277693247327468,0.97298097533708,1.2,Brassard P et al. Clin Infect Dis 2006;43:717-22 (PMID 16912945): conventional DMARDs in RA RR 1.2 (1.0-1.5),0.005,"Assumed: ~57 items/1,000 residents/year in EPD 2024 and roughly one item per user per month (about 0.5%); no verified UK prevalence found",prevalence is an assumption,1.0000999000999002,0.009990009990024085,0.09990009990009989,2.7769324732746847,274.1950983414601,77.89066904054391,27.769324732746824,0.025603170740145377
transplant_immunosuppressants,0.0030584055287094327,1.0086051973894443,0.9914682202593075,,,,,,,,,0.8605197389444319,,,8.605197389444312,
proton_pump_inhibitors,0.021912400875031594,1.0633129497011458,0.9404568996183668,1.28,"Song HJ et al. Pharmacoepidemiol Drug Saf 2019;28:830-9 (PMID 30920070): recent use aOR 1.28 (1.18-1.39), Korea",0.142,Abrahami D et al. BMJ Open 2020;10:e041529 (PMID 33293322): 14.2% had >=1 PPI prescription in 2018 (CPRD),any-prescription prevalence overstates current use (favours detection),1.0038239593752405,0.3823959375240493,3.8239593752404404,6.331294970114576,16.08457441174467,13.153221350143237,63.312949701145705,0.03706698973922117
statins,0.02077650020697027,1.0599345234267314,0.9434545039320303,0.6,"Li X et al. Front Med 2020;7:121 (PMID 32391364): pooled RR 0.60 (0.45-0.75), high heterogeneity",0.128,"O'Keeffe AG et al. Clin Epidemiol 2016;8:123-32 (PMID 27313477): 128 per 1,000 person-years in 2013 (THIN)",protective effect,0.9946037099494097,-0.539629005059028,-5.39629005059022,5.9934523426731445,10.757380050777119,12.686831265193144,59.93452342673139,0.04460966483510271
metformin,0.01655862362241883,1.0474832635544526,0.9546691911875266,0.51,"Zhang M, He JQ. Eur J Clin Pharmacol 2020;76:149-59 (PMID 31786617): pooled RR 0.51 (0.38-0.69) in people with diabetes",0.044,Sharma M et al. BMJ Open 2016;6:e010210 (PMID 26769791): T2DM 5.32% x 83.6% on metformin (derived),protective effect; most estimates from high-incidence settings,0.9977964923756184,-0.22035076243815954,-2.203507624381669,4.748326355445265,21.029773200773636,21.54897455217841,47.483263554452606,0.03386913163017156
insulins,0.019190259302159715,1.0552346368455,0.9476565354122404,,,,,,,,,5.52346368454999,,,55.23463684549985,
fluoroquinolones,0.006464956553253697,1.0182771460606308,0.9820509120416393,,,,,,,,,1.82771460606308,,,18.277146060630784,
all_antibacterials,0.020875603674954175,1.0602288517247611,0.9431925931587487,,,,,,,,,6.022885172476111,,,60.22885172476106,
vitamin_d,0.010091083890760664,1.0286744497837979,0.9721248546711503,,,,,,,,,2.867444978379785,,,28.674449783797822,
levothyroxine,0.016949432443607516,1.0486307645225357,0.9536245109643734,,,,,,,,,4.863076452253567,,,48.63076452253563,
