drug,se_log_irr_10pct,mde_irr_10pct_increase,mde_irr_10pct_decrease_equiv,rr,rr_source,prevalence,prevalence_source,notes,expected_irr_10pct,expected_pct_change_tb,paf_pct,mde_pct_change_tb,mde_to_expected_ratio,rr_needed_for_80pct_power,min_detectable_paf_pct,power_for_expected
antituberculosis,0.001930026912996188,1.005421779807581,0.9946074573711555,,,,,,,,,0.5421779807581073,,,5.421779807581069,
oral_glucocorticoids,0.024992897099272486,1.0725293431982126,0.9323754229586533,4.9,"Jick SS et al. Arthritis Rheum 2006;55:19-26 (PMID 16463407): current use OR 4.9 (2.9-8.3), UK GPRD",0.009,van Staa TP et al. QJM 2000;93:105-11 (PMID 10700481): 0.9% of adults current oral glucocorticoid use,adult prevalence applied to whole population (favours detection),1.0033909767172255,0.33909767172255467,3.390976717225389,7.252934319821258,20.683828754257586,294.36087480762836,72.52934319821252,0.03403705824604444
oral_hydrocortisone,0.007824274595113695,1.0221623885323052,0.9783181334189691,,,,,,,,,2.2162388532305233,,,22.162388532305215,
oral_dexamethasone,0.006172220765798228,1.0174423746298253,0.9828566461700876,,,,,,,,,1.7442374629825341,,,17.442374629825327,
inhaled_corticosteroids,0.026192314229883627,1.0761393925994494,0.9292476484709549,1.27,Brassard P et al. AJRCCM 2011;183:675-8 (PMID 20889902): any ICS use RR 1.27 (1.05-1.53),0.052,Bloom CI et al. ERJ 2019;53:1802130 (PMID 30765507): asthma 6.5% x 80% on ICS (derived); COPD users not included,,1.0013845607668337,0.13845607668336868,1.3845607668336555,7.613939259944935,53.03543907497411,62.36554128195215,76.13939259944928,0.028251281598505065
conventional_dmards,0.01152332239126121,1.0328103374756337,0.9682319819185508,1.2,Brassard P et al. Clin Infect Dis 2006;43:717-22 (PMID 16912945): conventional DMARDs in RA RR 1.2 (1.0-1.5),0.005,"Assumed: ~57 items/1,000 residents/year in EPD 2024 and roughly one item per user per month (about 0.5%); no verified UK prevalence found",prevalence is an assumption,1.0000999000999002,0.009990009990024085,0.09990009990009989,3.2810337475633666,323.1746739614594,98.66483784238372,32.81033747563364,0.025510979730488534
transplant_immunosuppressants,0.0032256637627228408,1.0090779286288745,0.9910037387883317,,,,,,,,,0.9077928628874465,,,9.077928628874457,
proton_pump_inhibitors,0.02277915320613938,1.0658981092981272,0.9381759769313036,1.28,"Song HJ et al. Pharmacoepidemiol Drug Saf 2019;28:830-9 (PMID 30920070): recent use aOR 1.28 (1.18-1.39), Korea",0.142,Abrahami D et al. BMJ Open 2020;10:e041529 (PMID 33293322): 14.2% had >=1 PPI prescription in 2018 (CPRD),any-prescription prevalence overstates current use (favours detection),1.0038239593752405,0.3823959375240493,3.8239593752404404,6.589810929812723,16.72080512173236,14.608371345077535,65.89810929812717,0.03653340670332117
statins,0.022288584571076686,1.064434177310384,0.9394662641581121,0.6,"Li X et al. Front Med 2020;7:121 (PMID 32391364): pooled RR 0.60 (0.45-0.75), high heterogeneity",0.128,"O'Keeffe AG et al. Clin Epidemiol 2016;8:123-32 (PMID 27313477): 128 per 1,000 person-years in 2013 (THIN)",protective effect,0.9946037099494097,-0.539629005059028,-5.39629005059022,6.443417731038403,11.54028698945746,15.153813188309789,64.43417731038397,0.04297146945125145
metformin,0.018560884650486,1.053375637251535,0.9493289617075229,0.51,"Zhang M, He JQ. Eur J Clin Pharmacol 2020;76:149-59 (PMID 31786617): pooled RR 0.51 (0.38-0.69) in people with diabetes",0.044,Sharma M et al. BMJ Open 2016;6:e010210 (PMID 26769791): T2DM 5.32% x 83.6% on metformin (derived),protective effect; most estimates from high-incidence settings,0.9977964923756184,-0.22035076243815954,-2.203507624381669,5.337563725153505,23.572683545809245,27.018214369000713,53.375637251535004,0.03280234066908609
insulins,0.021935709375556302,1.0633823871019383,0.9403954890820829,,,,,,,,,6.338238710193833,,,63.38238710193828,
fluoroquinolones,0.0069936412048398336,1.0197864899640268,0.9805974190100079,,,,,,,,,1.9786489964026766,,,19.78648996402675,
all_antibacterials,0.02357205284570134,1.0682685014715652,0.9360942484239461,,,,,,,,,6.826850147156516,,,68.2685014715651,
vitamin_d,0.011026277386447078,1.0313731355792324,0.9695811976316283,,,,,,,,,3.137313557923238,,,31.373135579232354,
levothyroxine,0.017026521495155975,1.0488572633890672,0.9534185774418917,,,,,,,,,4.885726338906715,,,48.85726338906711,
