drug,se_log_irr_10pct,mde_irr_10pct_increase,mde_irr_10pct_decrease_equiv,rr,rr_source,prevalence,prevalence_source,notes,expected_irr_10pct,expected_pct_change_tb,paf_pct,mde_pct_change_tb,mde_to_expected_ratio,rr_needed_for_80pct_power,min_detectable_paf_pct,power_for_expected
antituberculosis,0.0017872226319481876,1.0050196127624553,0.9950054579047884,,,,,,,,,0.5019612762455328,,,5.019612762455323,
oral_glucocorticoids,0.0218969199766877,1.063266833695755,0.9404976891117266,4.9,"Jick SS et al. Arthritis Rheum 2006;55:19-26 (PMID 16463407): current use OR 4.9 (2.9-8.3), UK GPRD",0.009,van Staa TP et al. QJM 2000;93:105-11 (PMID 10700481): 0.9% of adults current oral glucocorticoid use,adult prevalence applied to whole population (favours detection),1.0033909767172255,0.33909767172255467,3.390976717225389,6.326683369575492,18.121634368537215,192.37060307280979,63.266833695754855,0.035508787613990296
oral_hydrocortisone,0.0072177940451443766,1.0204270999580995,0.9799818135377447,,,,,,,,,2.042709995809955,,,20.427099958099532,
oral_dexamethasone,0.005701317625120319,1.0161009730916002,0.9841541603462781,,,,,,,,,1.610097309160019,,,16.100973091600178,
inhaled_corticosteroids,0.024152887782048355,1.0700082656868168,0.9345722197371251,1.27,Brassard P et al. AJRCCM 2011;183:675-8 (PMID 20889902): any ICS use RR 1.27 (1.05-1.53),0.052,Bloom CI et al. ERJ 2019;53:1802130 (PMID 30765507): asthma 6.5% x 80% on ICS (derived); COPD users not included,,1.0013845607668337,0.13845607668336868,1.3845607668336555,7.000826568681684,48.905911757427845,45.88946146331277,70.00826568681677,0.028541236322663536
conventional_dmards,0.010484108737858768,1.0298077394242209,0.9710550442737139,1.2,Brassard P et al. Clin Infect Dis 2006;43:717-22 (PMID 16912945): conventional DMARDs in RA RR 1.2 (1.0-1.5),0.005,"Assumed: ~57 items/1,000 residents/year in EPD 2024 and roughly one item per user per month (about 0.5%); no verified UK prevalence found",prevalence is an assumption,1.0000999000999002,0.009990009990024085,0.09990009990009989,2.980773942422088,294.02964770849957,85.93169810948201,29.807739424220852,0.0255621025180548
transplant_immunosuppressants,0.0029981714583008153,1.0084350087336644,0.9916355455129858,,,,,,,,,0.8435008733664429,,,8.435008733664421,
proton_pump_inhibitors,0.02100299322052871,1.0606073071581246,0.9428560346991004,1.28,"Song HJ et al. Pharmacoepidemiol Drug Saf 2019;28:830-9 (PMID 30920070): recent use aOR 1.28 (1.18-1.39), Korea",0.142,Abrahami D et al. BMJ Open 2020;10:e041529 (PMID 33293322): 14.2% had >=1 PPI prescription in 2018 (CPRD),any-prescription prevalence overstates current use (favours detection),1.0038239593752405,0.3823959375240493,3.8239593752404404,6.060730715812457,15.417032996594287,11.834801874387244,60.60730715812451,0.03768190646859498
statins,0.020498023785350712,1.0591079110512178,0.9441908511545813,0.6,"Li X et al. Front Med 2020;7:121 (PMID 32391364): pooled RR 0.60 (0.45-0.75), high heterogeneity",0.128,"O'Keeffe AG et al. Clin Epidemiol 2016;8:123-32 (PMID 27313477): 128 per 1,000 person-years in 2013 (THIN)",protective effect,0.9946037099494097,-0.539629005059028,-5.39629005059022,5.910791105121782,10.61319423157274,12.292662394088591,59.107911051217776,0.04494369108376573
metformin,0.017917377276830918,1.0514782795628672,0.951041994339371,0.51,"Zhang M, He JQ. Eur J Clin Pharmacol 2020;76:149-59 (PMID 31786617): pooled RR 0.51 (0.38-0.69) in people with diabetes",0.044,Sharma M et al. BMJ Open 2016;6:e010210 (PMID 26769791): T2DM 5.32% x 83.6% on metformin (derived),protective effect; most estimates from high-incidence settings,0.9977964923756184,-0.22035076243815954,-2.203507624381669,5.147827956286721,22.75541669866197,25.112106673380058,51.47827956286716,0.03311626513277925
insulins,0.019466393693921256,1.0560512970148397,0.9469236985236599,,,,,,,,,5.6051297014839685,,,56.051297014839626,
fluoroquinolones,0.006864752452477369,1.0194183188570736,0.9809515696374336,,,,,,,,,1.9418318857073569,,,19.41831885707355,
all_antibacterials,0.021302817606334033,1.0614985741399026,0.942064383657102,,,,,,,,,6.149857413990256,,,61.498574139902516,
vitamin_d,0.010506375373711175,1.0298719827686316,0.970994469925936,,,,,,,,,2.9871982768631566,,,29.87198276863154,
levothyroxine,0.0161711819046216,1.0463468886607834,0.9557060004067077,,,,,,,,,4.63468886607834,,,46.346888660783364,
