drug,se_log_irr_10pct,mde_irr_10pct_increase,mde_irr_10pct_decrease_equiv,rr,rr_source,prevalence,prevalence_source,notes,expected_irr_10pct,expected_pct_change_tb,paf_pct,mde_pct_change_tb,mde_to_expected_ratio,rr_needed_for_80pct_power,power_for_expected
antituberculosis,0.0026455636563659296,1.0074393072016803,0.992615627414475,,,,,,,,,0.743930720168029,,,
oral_corticosteroids,0.024063642428867188,1.0697407666081296,0.9348059186065617,4.9,"Jick SS et al. Arthritis Rheum 2006;55:19-26 (PMID 16463407): current use OR 4.9 (2.9-8.3), UK GPRD",0.009,van Staa TP et al. QJM 2000;93:105-11 (PMID 10700481): 0.9% of adults current oral glucocorticoid use,adult prevalence applied to whole population (favours detection),1.0033909767172255,0.33909767172255467,3.390976717225389,6.974076660812956,19.914788478718005,257.0862652142336,0.03443395351207189
inhaled_corticosteroids,0.03155638353506422,1.0924336322709558,0.915387416186735,1.27,Brassard P et al. AJRCCM 2011;183:675-8 (PMID 20889902): any ICS use RR 1.27 (1.05-1.53),0.052,Bloom CI et al. ERJ 2019;53:1802130 (PMID 30765507): asthma 6.5% x 80% on ICS (derived); COPD users not included,,1.0013845607668337,0.13845607668336868,1.3845607668336555,9.24336322709558,63.89686080090412,235.93040716764907,0.02767500342094792
immunosuppressants,0.012313137894122387,1.0350982037979033,0.9660919092805653,1.2,Brassard P et al. Clin Infect Dis 2006;43:717-22 (PMID 16912945): conventional DMARDs in RA RR 1.2 (1.0-1.5),0.005,"Assumed: ~57 items/1,000 residents/year in EPD 2024 and roughly one item per user per month (about 0.5%); no verified UK prevalence found",prevalence is an assumption,1.0000999000999002,0.009990009990024085,0.09990009990009989,3.5098203797903293,345.3252620436292,109.15788114280069,0.02547794289803235
proton_pump_inhibitors,0.02876171725815038,1.0839138242337478,0.9225825685053246,1.28,"Song HJ et al. Pharmacoepidemiol Drug Saf 2019;28:830-9 (PMID 30920070): recent use aOR 1.28 (1.18-1.39), Korea",0.142,Abrahami D et al. BMJ Open 2020;10:e041529 (PMID 33293322): 14.2% had >=1 PPI prescription in 2018 (CPRD),any-prescription prevalence overstates current use (favours detection),1.0038239593752405,0.3823959375240493,3.8239593752404404,8.391382423374782,21.1122452572242,37.73604172727498,0.0338300091582181
statins,0.031238877001959913,1.091462321013002,0.9162020353317242,0.6,"Li X et al. Front Med 2020;7:121 (PMID 32391364): pooled RR 0.60 (0.45-0.75), high heterogeneity",0.128,"O'Keeffe AG et al. Clin Epidemiol 2016;8:123-32 (PMID 27313477): 128 per 1,000 person-years in 2013 (THIN)",protective effect,0.9946037099494097,-0.539629005059028,-5.39629005059022,9.146232101300189,16.1744504089685,84.693634300639,0.03698867309264983
metformin,0.027115373289133965,1.0789259213319464,0.9268476919763763,0.51,"Zhang M, He JQ. Eur J Clin Pharmacol 2020;76:149-59 (PMID 31786617): pooled RR 0.51 (0.38-0.69) in people with diabetes",0.044,Sharma M et al. BMJ Open 2016;6:e010210 (PMID 26769791): T2DM 5.32% x 83.6% on metformin (derived),protective effect; most estimates from high-incidence settings,0.9977964923756184,-0.22035076243815954,-2.203507624381669,7.8925921331946425,34.43705005485858,86.11740739022713,0.030148870413200145
insulins,0.03390482144758293,1.099644830815631,0.9093845321477825,,,,,,,,,9.964483081563102,,,
fluoroquinolones,0.01076249406740571,1.0306112205921119,0.9702979940636346,,,,,,,,,3.0611220592111854,,,
all_antibacterials,0.022612402976371352,1.0654002753248095,0.9386143622828791,,,,,,,,,6.540027532480952,,,
vitamin_d,0.014371356884309468,1.0410841072225165,0.9605371872094716,,,,,,,,,4.108410722251654,,,
levothyroxine,0.021019869808717874,1.0606574551298575,0.9428114563882161,,,,,,,,,6.065745512985754,,,
